"Daily Date","Share Code","Year High (GH¢)","Year Low (GH¢)","Previous Closing Price - VWAP (GH¢)","Opening Price (GH¢)","Last Transaction Price (GH¢)","Closing Price - VWAP (GH¢)","Price Change (GH¢)","Closing Bid Price (GH¢)","Closing Offer Price (GH¢)","Total Shares Traded","Total Value Traded (GH¢)"
"27/08/2025","HORDS","0.10","0.10","0.10","0.10","0.10","0.10","0.00","0.00","0.10","0.00","0.00"
"27/08/2025","IIL","0.05","0.04","0.05","0.05","0.05","0.05","0.00","0.00","0.05","0.00","0.00"
"27/08/2025","DIGICUT","0.09","0.09","0.09","0.09","0.09","0.09","0.00","0.00","0.09","0.00","0.00"
"26/08/2025","ACCESS","16.40","5.20","16.37","16.37","16.36","16.36","-0.01","0.00","16.36","1,824.00","29,840.64"
"26/08/2025","ADB","5.06","5.06","5.06","5.06","5.06","5.06","0.00","5.06","0.00","3.00","15.18"
"26/08/2025","AGA","37.00","37.00","37.00","37.00","37.00","37.00","0.00","37.00","0.00","0.00","0.00"
"26/08/2025","**ALW**","0.10","0.10","0.10","0.10","0.10","0.10","0.00","0.00","0.00","0.00","0.00"
"26/08/2025","ASG","8.89","8.89","8.89","8.89","8.89","8.89","0.00","8.89","0.00","0.00","0.00"
"26/08/2025","ALLGH","6.12","6.12","6.12","6.12","6.12","6.12","0.00","0.00","6.12","618.00","3,782.16"
"26/08/2025","BOPP","34.35","25.26","34.35","34.35","34.35","34.35","0.00","34.40","0.00","0.00","0.00"
"26/08/2025","CAL","0.80","0.35","0.50","0.50","0.50","0.50","0.00","0.48","0.50","120,311.00","60,155.50"
"26/08/2025","CLYD","0.11","0.03","0.11","0.11","0.11","0.11","0.00","0.11","0.00","0.00","0.00"
"26/08/2025","CMLT","0.14","0.14","0.14","0.14","0.14","0.14","0.00","0.15","0.00","0.00","0.00"
"26/08/2025","CPC","0.03","0.02","0.03","0.03","0.03","0.03","0.00","0.03","0.00","0.00","0.00"
"26/08/2025","DASPHARMA","0.38","0.38","0.38","0.38","0.38","0.38","0.00","0.38","0.00","125.00","47.50"
"26/08/2025","EGH","9.02","6.25","8.91","8.91","9.02","9.02","0.11","9.03","0.00","25,004.00","225,536.08"
"26/08/2025","EGL","2.90","1.98","2.90","2.90","2.90","2.90","0.00","2.90","0.00","0.00","0.00"
"26/08/2025","ETI","0.90","0.31","0.78","0.78","0.77","0.77","-0.01","0.74","0.77","46,475.00","35,785.75"
"26/08/2025","FML","4.41","3.70","4.41","4.41","4.41","4.41","0.00","4.41","0.00","130.00","573.30"
"26/08/2025","GCB","10.00","6.37","9.85","9.85","9.85","9.85","0.00","9.93","0.00","585.00","5,809.05"
"26/08/2025","GGBL","6.05","5.50","6.05","6.05","6.05","6.05","0.00","5.46","6.05","43.00","260.15"
"26/08/2025","GOIL","2.28","1.52","2.27","2.27","2.28","2.28","0.01","2.28","0.00","1,200.00","2,736.00"
"26/08/2025","MAC","5.38","5.38","5.38","5.38","5.38","5.38","0.00","0.00","0.00","0.00","0.00"
"26/08/2025","MTNGH","3.98","2.50","3.89","3.89","3.87","3.88","-0.01","3.80","3.89","244,643.00","949,023.37"
"26/08/2025","PBC**","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.00","0.00","0.00","0.00"
"26/08/2025","RBGH","1.10","0.60","1.09","1.09","1.10","1.10","0.01","1.09","1.10","50,000.00","55,000.00"
"26/08/2025","SCB","28.01","23.00","28.00","28.00","28.01","28.01","0.01","28.01","0.00","10,800.00","302,508.00"
"26/08/2025","SIC","1.14","0.27","1.05","1.05","1.05","1.05","0.00","0.00","1.05","69,947.00","73,444.35"
"26/08/2025","SOGEGH","2.06","1.50","2.00","2.00","2.00","2.00","0.00","2.01","0.00","100.00","201.00"
"26/08/2025","TBL","1.10","0.83","1.10","1.10","1.10","1.10","0.00","1.20","0.00","0.00","0.00"
"26/08/2025","TOTAL","33.25","13.12","31.93","31.93","31.93","31.93","0.00","31.93","0.00","937.00","29,918.41"
"26/08/2025","TLW","11.92","11.92","11.92","11.92","11.92","11.92","0.00","11.92","0.00","14.00","166.88"
"26/08/2025","UNIL","20.50","19.50","20.40","20.40","20.40","20.40","0.00","20.40","20.49","5.00","102.00"
"26/08/2025","AADS","0.41","0.41","0.41","0.41","0.41","0.41","0.00","0.41","0.00","0.00","0.00"
"26/08/2025","SCBPREF","0.90","0.90","0.90","0.90","0.90","0.90","0.00","0.90","0.00","0.00","0.00"
"26/08/2025","GLD","508.31","338.83","379.00","379.00","379.00","378.53","-0.47","0.00","378.00","94.00","35,582.00"
"26/08/2025","SAMBA","0.55","0.55","0.55","0.55","0.55","0.55","0.00","0.00","0.00","0.00","0.00"
"26/08/2025","MMH","0.10","0.10","0.10","0.10","0.10","0.10","0.00","0.00","0.00","0.00","0.00"
"26/08/2025","HORDS","0.10","0.10","0.10","0.10","0.10","0.10","0.00","0.00","0.00","0.00","0.00"
"26/08/2025","IIL","0.05","0.04","0.04","0.04","0.05","0.05","0.01","0.05","0.00","126,311.00","6,315.55"
"26/08/2025","DIGICUT","0.09","0.09","0.09","0.09","0.09","0.09","0.00","0.00","0.09","0.00","0.00"
"25/08/2025","ACCESS","16.40","5.20","16.37","16.37","16.37","16.37","0.00","0.00","16.36","2,437.00","39,893.15"
"25/08/2025","ADB","5.06","5.06","5.06","5.06","5.06","5.06","0.00","5.06","0.00","0.00","0.00"
"25/08/2025","AGA","37.00","37.00","37.00","37.00","37.00","37.00","0.00","37.00","0.00","0.00","0.00"
"25/08/2025","**ALW**","0.10","0.10","0.10","0.10","0.10","0.10","0.00","0.00","0.00","0.00","0.00"
"25/08/2025","ASG","8.89","8.89","8.89","8.89","8.89","8.89","0.00","8.89","0.00","0.00","0.00"
"25/08/2025","ALLGH","6.12","6.12","6.12","6.12","6.12","6.12","0.00","0.00","6.12","41.00","250.92"
"25/08/2025","BOPP","34.35","25.26","34.35","34.35","34.35","34.35","0.00","34.40","0.00","0.00","0.00"
"25/08/2025","CAL","0.80","0.35","0.50","0.50","0.50","0.50","0.00","0.50","0.51","39,237.00","19,618.50"
"25/08/2025","CLYD","0.11","0.03","0.11","0.11","0.11","0.11","0.00","0.11","0.00","0.00","0.00"
"25/08/2025","CMLT","0.14","0.14","0.14","0.14","0.14","0.14","0.00","0.15","0.00","0.00","0.00"
"25/08/2025","CPC","0.03","0.02","0.02","0.02","0.03","0.03","0.01","0.02","0.00","7,970.00","239.10"
"25/08/2025","DASPHARMA","0.38","0.38","0.38","0.38","0.38","0.38","0.00","0.38","0.00","0.00","0.00"
"25/08/2025","EGH","8.91","6.25","8.91","8.91","8.91","8.91","0.00","8.99","0.00","920.00","8,279.32"
"25/08/2025","EGL","2.90","1.98","2.90","2.90","2.90","2.90","0.00","2.90","0.00","0.00","0.00"
"25/08/2025","ETI","0.90","0.31","0.78","0.78","0.78","0.78","0.00","0.74","0.78","14,889.00","11,613.42"
"25/08/2025","FML","4.41","3.70","4.41","4.41","4.41","4.41","0.00","4.41","0.00","29.00","127.89"
"25/08/2025","GCB","10.00","6.37","9.85","9.85","9.85","9.85","0.00","9.88","0.00","265.00","2,620.90"
"25/08/2025","GGBL","6.05","5.50","6.05","6.05","6.05","6.05","0.00","5.46","6.05","330.00","1,996.50"
"25/08/2025","GOIL","2.27","1.52","2.26","2.26","2.27","2.27","0.01","2.27","0.00","7,261.00","16,482.47"
"25/08/2025","MAC","5.38","5.38","5.38","5.38","5.38","5.38","0.00","5.38","0.00","0.00","0.00"
"25/08/2025","MTNGH","3.98","2.50","3.89","3.89","3.89","3.89","0.00","3.70","3.89","148,976.00","579,359.04"
"25/08/2025","PBC**","0.02","0.02","0.02","0.02","0.02","0.02","0.00","0.00","0.00","0.00","0.00"
"25/08/2025","RBGH","1.10","0.60","1.09","1.09","1.09","1.09","0.00","1.09","1.10","15,565.00","16,965.85"
"25/08/2025","SCB","28.00","23.00","28.00","28.00","28.00","28.00","0.00","28.00","0.00","0.00","0.00"
"25/08/2025","SIC","1.14","0.27","1.05","1.05","1.05","1.05","0.00","1.05","0.00","501.00","526.05"
"25/08/2025","SOGEGH","2.06","1.50","2.00","2.00","2.00","2.00","0.00","2.02","0.00","456.00","921.12"
"25/08/2025","TBL","1.10","0.83","1.10","1.10","1.10","1.10","0.00","1.20","0.00","0.00","0.00"
"25/08/2025","TOTAL","33.25","13.12","31.93","31.93","31.93","31.93","0.00","0.00","31.93","167.00","5,332.31"
"25/08/2025","TLW","11.92","11.92","11.92","11.92","11.92","11.92","0.00","11.92","0.00","0.00","0.00"
"25/08/2025","UNIL","20.50","19.50","20.40","20.40","20.40","20.40","0.00","20.40","20.49","2.00","40.80"
"25/08/2025","AADS","0.41","0.41","0.41","0.41","0.41","0.41","0.00","0.41","0.00","0.00","0.00"
"25/08/2025","SCBPREF","0.90","0.90","0.90","0.90","0.90","0.90","0.00","0.90","0.00","0.00","0.00"
"25/08/2025","GLD","508.31","338.83","379.00","379.00","379.00","379.00","0.00","0.00","379.00","6.00","2,274.00"
"25/08/2025","SAMBA","0.55","0.55","0.55","0.55","0.55","0.55","0.00","0.00","0.00","0.00","0.00"
